SAMPLE	TYPE	COUNT
SBR241	HIGH	626
SBR241	MODERATE	10991
SBR241	MODIFIER	13451
SBR241	LOW	13598
SBR242	HIGH	647
SBR242	MODERATE	11145
SBR242	MODIFIER	13612
SBR242	LOW	13596
SBR243	HIGH	605
SBR243	MODERATE	10793
SBR243	MODIFIER	13515
SBR243	LOW	13440
SBR244	HIGH	630
SBR244	MODERATE	11260
SBR244	MODIFIER	13724
SBR244	LOW	13768
SBR245	HIGH	636
SBR245	MODERATE	10957
SBR245	MODIFIER	13558
SBR245	LOW	13657
SBR246	HIGH	615
SBR246	MODERATE	10949
SBR246	MODIFIER	13398
SBR246	LOW	13445
SBR247	HIGH	625
SBR247	MODERATE	11043
SBR247	MODIFIER	13684
SBR247	LOW	13487
SBR248	HIGH	638
SBR248	MODERATE	11059
SBR248	MODIFIER	13789
SBR248	LOW	13795
SBR250	HIGH	636
SBR250	MODERATE	11509
SBR250	MODIFIER	12991
SBR250	LOW	13014
SBR251	HIGH	621
SBR251	MODERATE	11150
SBR251	MODIFIER	12431
SBR251	LOW	12677
SBR252	HIGH	631
SBR252	MODERATE	10996
SBR252	MODIFIER	12434
SBR252	LOW	12440
SBR253	HIGH	576
SBR253	MODERATE	11039
SBR253	MODIFIER	12631
SBR253	LOW	12800
SBR254	HIGH	587
SBR254	MODERATE	11420
SBR254	MODIFIER	12930
SBR254	LOW	13009
SBR255	HIGH	626
SBR255	MODERATE	11281
SBR255	MODIFIER	12755
SBR255	LOW	12889
SBR257	HIGH	629
SBR257	MODERATE	11459
SBR257	MODIFIER	12699
SBR257	LOW	12874
SBR259	HIGH	581
SBR259	MODERATE	11117
SBR259	MODIFIER	12473
SBR259	LOW	12592
SBR260	HIGH	619
SBR260	MODERATE	11235
SBR260	MODIFIER	12438
SBR260	LOW	12753
SBR264	HIGH	624
SBR264	MODERATE	10996
SBR264	MODIFIER	12207
SBR264	LOW	12691
SBR270	HIGH	645
SBR270	MODERATE	11272
SBR270	MODIFIER	12816
SBR270	LOW	12759
SBR271	HIGH	618
SBR271	MODERATE	11178
SBR271	MODIFIER	13798
SBR271	LOW	13842
SBR272	HIGH	639
SBR272	MODERATE	11128
SBR272	MODIFIER	13546
SBR272	LOW	13571
SBR273	HIGH	681
SBR273	MODERATE	11100
SBR273	MODIFIER	13580
SBR273	LOW	13807
SBR275	HIGH	640
SBR275	MODERATE	11193
SBR275	MODIFIER	13866
SBR275	LOW	13763
SBR276	HIGH	653
SBR276	MODERATE	11153
SBR276	MODIFIER	13884
SBR276	LOW	13604
SBR277	HIGH	604
SBR277	MODERATE	11169
SBR277	MODIFIER	13789
SBR277	LOW	13672
SBR278	HIGH	616
SBR278	MODERATE	10766
SBR278	MODIFIER	13390
SBR278	LOW	13439
SBR279	HIGH	620
SBR279	MODERATE	11109
SBR279	MODIFIER	13684
SBR279	LOW	13609
SBR280	HIGH	656
SBR280	MODERATE	11091
SBR280	MODIFIER	13774
SBR280	LOW	13554
SBR282	HIGH	635
SBR282	MODERATE	11166
SBR282	MODIFIER	13829
SBR282	LOW	13731
SBR284	HIGH	645
SBR284	MODERATE	11173
SBR284	MODIFIER	13783
SBR284	LOW	13741
SBR285	HIGH	620
SBR285	MODERATE	11333
SBR285	MODIFIER	13840
SBR285	LOW	13927
SBR286	HIGH	640
SBR286	MODERATE	11082
SBR286	MODIFIER	13667
SBR286	LOW	13604
SBR287	HIGH	642
SBR287	MODERATE	11160
SBR287	MODIFIER	13628
SBR287	LOW	13792
SCH00404	HIGH	139
SCH00404	MODERATE	3051
SCH00404	MODIFIER	944
SCH00404	LOW	4384
SCH00405	HIGH	122
SCH00405	MODERATE	2911
SCH00405	MODIFIER	942
SCH00405	LOW	4205
SCH00406	HIGH	146
SCH00406	MODERATE	3086
SCH00406	MODIFIER	966
SCH00406	LOW	4407
SCH00408	HIGH	691
SCH00408	MODERATE	11549
SCH00408	MODIFIER	13018
SCH00408	LOW	13011
SCH00409	HIGH	647
SCH00409	MODERATE	11246
SCH00409	MODIFIER	12972
SCH00409	LOW	12856
SCH00410	HIGH	582
SCH00410	MODERATE	11261
SCH00410	MODIFIER	12791
SCH00410	LOW	12741
SCH00411	HIGH	671
SCH00411	MODERATE	11390
SCH00411	MODIFIER	12704
SCH00411	LOW	12909
SCH00412	HIGH	658
SCH00412	MODERATE	11429
SCH00412	MODIFIER	12924
SCH00412	LOW	12847
SCH00413	HIGH	625
SCH00413	MODERATE	11372
SCH00413	MODIFIER	12823
SCH00413	LOW	12814
SCH00417	HIGH	614
SCH00417	MODERATE	11166
SCH00417	MODIFIER	12602
SCH00417	LOW	12851
SCH00418	HIGH	655
SCH00418	MODERATE	11028
SCH00418	MODIFIER	12593
SCH00418	LOW	12650
SCH00419	HIGH	663
SCH00419	MODERATE	11292
SCH00419	MODIFIER	12671
SCH00419	LOW	12787
SCH00420	HIGH	640
SCH00420	MODERATE	11177
SCH00420	MODIFIER	12597
SCH00420	LOW	12770
SCH00421	HIGH	574
SCH00421	MODERATE	11236
SCH00421	MODIFIER	12475
SCH00421	LOW	12650
SCH00422	HIGH	579
SCH00422	MODERATE	11208
SCH00422	MODIFIER	12504
SCH00422	LOW	12815
SCH00423	HIGH	597
SCH00423	MODERATE	11075
SCH00423	MODIFIER	12342
SCH00423	LOW	12873
SCH00424	HIGH	631
SCH00424	MODERATE	11344
SCH00424	MODIFIER	12761
SCH00424	LOW	12662
SCH00425	HIGH	137
SCH00425	MODERATE	3055
SCH00425	MODIFIER	892
SCH00425	LOW	4363
SCH00426	HIGH	587
SCH00426	MODERATE	11106
SCH00426	MODIFIER	12409
SCH00426	LOW	12703
SCH00427	HIGH	662
SCH00427	MODERATE	11138
SCH00427	MODIFIER	13748
SCH00427	LOW	13597
SCH00428	HIGH	602
SCH00428	MODERATE	10955
SCH00428	MODIFIER	13515
SCH00428	LOW	13511
SCH00429	HIGH	627
SCH00429	MODERATE	11012
SCH00429	MODIFIER	13684
SCH00429	LOW	13587
SCH00430	HIGH	605
SCH00430	MODERATE	11137
SCH00430	MODIFIER	13644
SCH00430	LOW	13674
SCH00431	HIGH	605
SCH00431	MODERATE	11016
SCH00431	MODIFIER	13612
SCH00431	LOW	13749
SCH00432	HIGH	608
SCH00432	MODERATE	10861
SCH00432	MODIFIER	13334
SCH00432	LOW	13409
SCH00433	HIGH	587
SCH00433	MODERATE	11271
SCH00433	MODIFIER	12643
SCH00433	LOW	12780
SCH00434	HIGH	638
SCH00434	MODERATE	11461
SCH00434	MODIFIER	12594
SCH00434	LOW	12816
SCH00437	HIGH	622
SCH00437	MODERATE	11238
SCH00437	MODIFIER	12513
SCH00437	LOW	12662
SCH00438	HIGH	616
SCH00438	MODERATE	11260
SCH00438	MODIFIER	12406
SCH00438	LOW	12770
SCH00439	HIGH	624
SCH00439	MODERATE	11037
SCH00439	MODIFIER	12461
SCH00439	LOW	12733
SCH00442	HIGH	138
SCH00442	MODERATE	3051
SCH00442	MODIFIER	938
SCH00442	LOW	4430
SCH00456	HIGH	132
SCH00456	MODERATE	3008
SCH00456	MODIFIER	937
SCH00456	LOW	4372
SCH00511	HIGH	132
SCH00511	MODERATE	3078
SCH00511	MODIFIER	940
SCH00511	LOW	4472
SCH00660	HIGH	566
SCH00660	MODERATE	10710
SCH00660	MODIFIER	11798
SCH00660	LOW	12352
SCH01659	HIGH	573
SCH01659	MODERATE	10665
SCH01659	MODIFIER	11637
SCH01659	LOW	12153
SCH01670	HIGH	573
SCH01670	MODERATE	10765
SCH01670	MODIFIER	11816
SCH01670	LOW	12364
SCH01675	HIGH	552
SCH01675	MODERATE	10453
SCH01675	MODIFIER	11178
SCH01675	LOW	11772
SCH01678	HIGH	567
SCH01678	MODERATE	10714
SCH01678	MODIFIER	11863
SCH01678	LOW	12313
SCH01686	HIGH	560
SCH01686	MODERATE	10797
SCH01686	MODIFIER	12090
SCH01686	LOW	12480
SCH01689	HIGH	569
SCH01689	MODERATE	10724
SCH01689	MODIFIER	11815
SCH01689	LOW	12111
SCH01691	HIGH	606
SCH01691	MODERATE	10810
SCH01691	MODIFIER	12072
SCH01691	LOW	12442
SCH01692	HIGH	594
SCH01692	MODERATE	10713
SCH01692	MODIFIER	11642
SCH01692	LOW	12247
SCH01693	HIGH	540
SCH01693	MODERATE	10600
SCH01693	MODIFIER	11388
SCH01693	LOW	12060
SCH01694	HIGH	590
SCH01694	MODERATE	10638
SCH01694	MODIFIER	11610
SCH01694	LOW	12199
SCH01695	HIGH	141
SCH01695	MODERATE	3052
SCH01695	MODIFIER	975
SCH01695	LOW	4392
SCH01696	HIGH	141
SCH01696	MODERATE	2998
SCH01696	MODIFIER	945
SCH01696	LOW	4378
SCH01697	HIGH	146
SCH01697	MODERATE	3109
SCH01697	MODIFIER	975
SCH01697	LOW	4453
SCH01698	HIGH	147
SCH01698	MODERATE	3059
SCH01698	MODIFIER	991
SCH01698	LOW	4449
SCH01699	HIGH	158
SCH01699	MODERATE	3080
SCH01699	MODIFIER	928
SCH01699	LOW	4497
SCH01826	HIGH	577
SCH01826	MODERATE	10794
SCH01826	MODIFIER	12069
SCH01826	LOW	12478
SCH01827	HIGH	641
SCH01827	MODERATE	11563
SCH01827	MODIFIER	12762
SCH01827	LOW	13025
SCH01828	HIGH	634
SCH01828	MODERATE	11403
SCH01828	MODIFIER	12971
SCH01828	LOW	12871
SCH01830	HIGH	654
SCH01830	MODERATE	11214
SCH01830	MODIFIER	12640
SCH01830	LOW	12725
SCH01831	HIGH	651
SCH01831	MODERATE	11421
SCH01831	MODIFIER	12530
SCH01831	LOW	12838
SCH01832	HIGH	605
SCH01832	MODERATE	11237
SCH01832	MODIFIER	12733
SCH01832	LOW	12728
SCH01833	HIGH	602
SCH01833	MODERATE	11063
SCH01833	MODIFIER	12596
SCH01833	LOW	12724
SCH01834	HIGH	677
SCH01834	MODERATE	11261
SCH01834	MODIFIER	12637
SCH01834	LOW	12952
